,parameters,u_mass
0,"(5, 0.5, 0.5)",-8.310842222627624
1,"(5, 0.5, 1)",-8.145172510673959
2,"(5, 0.5, 'auto')",-8.148577025193571
3,"(5, 0.5, 'symmetric')",-8.148577025193571
4,"(5, 1, 0.5)",-6.70407798663287
5,"(5, 1, 1)",-6.6387939462606
6,"(5, 1, 'auto')",-7.353312813690256
7,"(5, 1, 'symmetric')",-7.353312813690256
8,"(5, 'auto', 0.5)",-9.346908403914895
9,"(5, 'auto', 1)",-10.332309233291335
10,"(5, 'auto', 'auto')",-9.086522023064173
11,"(5, 'auto', 'symmetric')",-9.086522023064173
12,"(5, 'symmetric', 0.5)",-9.441205344068049
13,"(5, 'symmetric', 1)",-10.263639614842152
14,"(5, 'symmetric', 'auto')",-9.34381017133187
15,"(5, 'symmetric', 'symmetric')",-9.34381017133187
