,parameters,u_mass
0,"(5, 'auto', 'auto')",-9.086522023064173
1,"(5, 'auto', 0.5)",-9.346908403914895
2,"(5, 0.5, 'auto')",-8.148577025193571
3,"(5, 0.5, 0.5)",-8.310842222627624
4,"(6, 'auto', 'auto')",-10.50212599863936
5,"(6, 'auto', 0.5)",-9.875526189369655
6,"(6, 0.5, 'auto')",-9.403702607509858
7,"(6, 0.5, 0.5)",-9.23294710720394
8,"(7, 'auto', 'auto')",-10.459862801558641
9,"(7, 'auto', 0.5)",-10.551641491936604
10,"(7, 0.5, 'auto')",-9.566870147104023
11,"(7, 0.5, 0.5)",-9.121741248602907
12,"(8, 'auto', 'auto')",-11.68422829165026
13,"(8, 'auto', 0.5)",-11.54292179516598
14,"(8, 0.5, 'auto')",-9.609692098092387
15,"(8, 0.5, 0.5)",-9.837354752631736
16,"(9, 'auto', 'auto')",-11.528437270159722
17,"(9, 'auto', 0.5)",-11.49639013690021
18,"(9, 0.5, 'auto')",-10.735650261889747
19,"(9, 0.5, 0.5)",-9.764182348810216
20,"(10, 'auto', 'auto')",-11.7515549417938
21,"(10, 'auto', 0.5)",-12.305498592563259
22,"(10, 0.5, 'auto')",-10.617589354250867
23,"(10, 0.5, 0.5)",-10.366637252979288
